Depth,PARmax,PARav,DIN,PO4,Fe_d,Pro_obs,Pro_mu,Site
10.0,742.0,371.0,0.064,0.004,100.0,0.01014422,0.0,Med
25.0,430.0,215.0,0.062,0.006,100.0,0.01038866,0.0,Med
50.0,118.0,59.0,0.1,0.0,100.0,0.1788071,0.0,Med
65.0,63.0,31.5,0.099,0.003,100.0,0.130286,0.0,Med
100.0,11.5,5.75,0.082,0.002,100.0,0.1874847,0.0,Med
115.0,5.47,2.735,0.067,0.002,100.0,0.24981669999999997,0.0,Med
125.0,3.41,1.705,0.125,0.001,100.0,0.2577609,0.0,Med
137.0,1.82,0.91,0.209,0.008,100.0,0.1994622,0.0,Med
150.0,1.04,0.52,0.591,0.006,100.0,0.1224639,0.0,Med
175.0,0.377,0.1885,1.049,0.009,100.0,0.008799804,0.0,Med
5.5,1354.56,401.62703999999997,2.93,NaN,0.03,1.12173,0.49525,EqPac
15.6,725.42,215.08702999999997,3.57,NaN,0.03,1.37826,0.48993,EqPac
30.0,355.24,105.32866,3.77,NaN,0.03,1.52688,0.73156,EqPac
45.2,154.38,45.773669999999996,4.55,NaN,0.03,1.63529,0.61225,EqPac
59.2,81.34,24.11731,5.03,NaN,0.03,1.3839,0.50788,EqPac
73.9,39.84,11.812560000000001,6.28,NaN,0.03,0.81082,0.40215,EqPac
90.5,18.259999999999998,5.414089999999999,7.24,0.87,0.03,0.4473,0.38868,EqPac
99.4,11.620000000000001,3.4453300000000002,7.83,0.88,0.03,0.40317,0.26392,EqPac
119.9,4.98,1.4765700000000002,9.07,0.96,0.03,0.31296,0.15282,EqPac
149.4,1.6600000000000001,0.49219,13.940000000000001,1.22,0.2,0.11271,0.12721,EqPac
175.1,0.0,0.0,14.45,1.31,0.23,0.00769,NaN,EqPac
199.4,0.0,0.0,17.3,1.42,0.25,0.00211,NaN,EqPac
4.9,981.856530612245,315.3723176326531,0.04,0.11,100.0,1.93,0.457,HOT55
26.2,495.655625,159.20458674999998,0.03,0.11,100.0,1.98,0.488,HOT55
45.5,279.886323529412,89.89948711764713,0.03,0.11,100.0,2.12,0.731,HOT55
60.4,164.971833333333,52.98895286666656,0.04,0.11,100.0,1.97,0.68,HOT55
75.4,92.2883333333333,29.643012666666653,0.04,0.11,100.0,1.83,0.61,HOT55
94.8,47.0991379310345,15.12824310344828,0.11,0.12,100.0,1.13,0.34,HOT55
105.1,26.6966666666667,8.574969333333344,0.32999999999999996,0.14,100.0,0.38,0.35,HOT55
115.3,17.2596666666667,5.543804933333344,0.33999999999999997,0.13,100.0,0.54,0.36,HOT55
126.8,9.06843137254902,2.912780156862745,0.91,0.18,100.0,0.35,0.378,HOT55
149.2,3.38254545454546,1.0864736000000017,1.46,0.21,100.0,0.27,0.206,HOT55
175.0,1.18617021276596,0.3809978723404263,2.4099999999999997,0.26,100.0,0.2,NaN,HOT55
